Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
01/01/18,93.0,51.15,100.44,77.19,106.02,0.98,88.35
02/01/18,100.0,55.0,108.0,83.0,114.0,1.05,95.0
03/01/18,81.0,44.55,87.48,67.23,92.34,0.85,76.95
04/01/18,169.0,92.95,182.52,140.27,192.66,1.77,160.55
05/01/18,153.0,84.15,165.24,126.99,174.42,1.61,145.35
06/01/18,157.0,86.35,169.56,130.31,178.98,1.65,149.15
07/01/18,123.0,67.65,132.84,102.09,140.22,1.29,116.85
08/01/18,128.0,70.4,138.24,106.24,145.92,1.34,121.6
09/01/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
10/01/18,108.0,59.4,116.64,89.64,123.12,1.13,102.6
11/01/18,178.0,97.9,192.24,147.74,202.92,1.87,169.1
12/01/18,158.0,86.9,170.64,131.14,180.12,1.66,150.1
13/01/18,217.0,119.35,234.36,180.11,247.38,2.28,206.15
14/01/18,154.0,84.7,166.32,127.82,175.56,1.62,146.3
15/01/18,135.0,74.25,145.8,112.05,153.9,1.42,128.25
16/01/18,135.0,74.25,145.8,112.05,153.9,1.42,128.25
17/01/18,161.0,88.55,173.88,133.63,183.54,1.69,152.95
18/01/18,110.0,60.5,118.8,91.3,125.4,1.16,104.5
19/01/18,143.0,78.65,154.44,118.69,163.02,1.5,135.85
20/01/18,129.0,70.95,139.32,107.07,147.06,1.35,122.55
21/01/18,166.0,91.3,179.28,137.78,189.24,1.74,157.7
22/01/18,150.0,82.5,162.0,124.5,171.0,1.58,142.5
23/01/18,139.0,76.45,150.12,115.37,158.46,1.46,132.05
24/01/18,130.0,71.5,140.4,107.9,148.2,1.37,123.5
25/01/18,176.0,96.8,190.08,146.08,200.64,1.85,167.2
26/01/18,158.0,86.9,170.64,131.14,180.12,1.66,150.1
27/01/18,165.0,90.75,178.2,136.95,188.1,1.73,156.75
28/01/18,154.0,84.7,166.32,127.82,175.56,1.62,146.3
29/01/18,145.0,79.75,156.6,120.35,165.3,1.52,137.75
30/01/18,128.0,70.4,138.24,106.24,145.92,1.34,121.6
31/01/18,150.0,82.5,162.0,124.5,171.0,1.58,142.5
01/02/18,134.0,73.7,144.72,111.22,152.76,1.41,127.3
02/02/18,162.0,89.1,174.96,134.46,184.68,1.7,153.9
03/02/18,146.0,80.3,157.68,121.18,166.44,1.53,138.7
04/02/18,91.0,50.05,98.28,75.53,103.74,0.96,86.45
05/02/18,75.0,41.25,81.0,62.25,85.5,0.79,71.25
06/02/18,80.0,44.0,86.4,66.4,91.2,0.84,76.0
07/02/18,68.0,37.4,73.44,56.44,77.52,0.71,64.6
08/02/18,68.0,37.4,73.44,56.44,77.52,0.71,64.6
09/02/18,103.0,56.65,111.24,85.49,117.42,1.08,97.85
10/02/18,80.0,44.0,86.4,66.4,91.2,0.84,76.0
11/02/18,131.0,72.05,141.48,108.73,149.34,1.38,124.45
12/02/18,82.0,45.1,88.56,68.06,93.48,0.86,77.9
13/02/18,136.0,74.8,146.88,112.88,155.04,1.43,129.2
14/02/18,124.0,68.2,133.92,102.92,141.36,1.3,117.8
15/02/18,104.0,57.2,112.32,86.32,118.56,1.09,98.8
16/02/18,120.0,66.0,129.6,99.6,136.8,1.26,114.0
17/02/18,105.0,57.75,113.4,87.15,119.7,1.1,99.75
18/02/18,131.0,72.05,141.48,108.73,149.34,1.38,124.45
19/02/18,150.0,82.5,162.0,124.5,171.0,1.58,142.5
20/02/18,116.0,63.8,125.28,96.28,132.24,1.22,110.2
21/02/18,160.0,88.0,172.8,132.8,182.4,1.68,152.0
22/02/18,119.0,65.45,128.52,98.77,135.66,1.25,113.05
23/02/18,94.0,51.7,101.52,78.02,107.16,0.99,89.3
24/02/18,87.0,47.85,93.96,72.21,99.18,0.91,82.65
25/02/18,58.0,31.9,62.64,48.14,66.12,0.61,55.1
26/02/18,79.0,43.45,85.32,65.57,90.06,0.83,75.05
27/02/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
28/02/18,164.0,90.2,177.12,136.12,186.96,1.72,155.8
01/03/18,142.0,78.1,153.36,117.86,161.88,1.49,134.9
02/03/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
03/03/18,104.0,57.2,112.32,86.32,118.56,1.09,98.8
04/03/18,123.0,67.65,132.84,102.09,140.22,1.29,116.85
05/03/18,88.0,48.4,95.04,73.04,100.32,0.92,83.6
06/03/18,73.0,40.15,78.84,60.59,83.22,0.77,69.35
07/03/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
08/03/18,170.0,93.5,183.6,141.1,193.8,1.79,161.5
09/03/18,110.0,60.5,118.8,91.3,125.4,1.16,104.5
10/03/18,141.0,77.55,152.28,117.03,160.74,1.48,133.95
11/03/18,124.0,68.2,133.92,102.92,141.36,1.3,117.8
12/03/18,74.0,40.7,79.92,61.42,84.36,0.78,70.3
13/03/18,100.0,55.0,108.0,83.0,114.0,1.05,95.0
14/03/18,66.0,36.3,71.28,54.78,75.24,0.69,62.7
15/03/18,64.0,35.2,69.12,53.12,72.96,0.67,60.8
16/03/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
17/03/18,67.0,36.85,72.36,55.61,76.38,0.7,63.65
18/03/18,101.0,55.55,109.08,83.83,115.14,1.06,95.95
19/03/18,91.0,50.05,98.28,75.53,103.74,0.96,86.45
20/03/18,119.0,65.45,128.52,98.77,135.66,1.25,113.05
21/03/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
22/03/18,79.0,43.45,85.32,65.57,90.06,0.83,75.05
23/03/18,100.0,55.0,108.0,83.0,114.0,1.05,95.0
24/03/18,112.0,61.6,120.96,92.96,127.68,1.18,106.4
25/03/18,96.0,52.8,103.68,79.68,109.44,1.01,91.2
26/03/18,100.0,55.0,108.0,83.0,114.0,1.05,95.0
27/03/18,97.0,53.35,104.76,80.51,110.58,1.02,92.15
28/03/18,67.0,36.85,72.36,55.61,76.38,0.7,63.65
29/03/18,47.0,25.85,50.76,39.01,53.58,0.49,44.65
30/03/18,69.0,37.95,74.52,57.27,78.66,0.72,65.55
31/03/18,78.0,42.9,84.24,64.74,88.92,0.82,74.1
01/04/18,84.0,46.2,90.72,69.72,95.76,0.88,79.8
02/04/18,67.0,36.85,72.36,55.61,76.38,0.7,63.65
03/04/18,62.0,34.1,66.96,51.46,70.68,0.65,58.9
04/04/18,68.0,37.4,73.44,56.44,77.52,0.71,64.6
05/04/18,82.0,45.1,88.56,68.06,93.48,0.86,77.9
06/04/18,104.0,57.2,112.32,86.32,118.56,1.09,98.8
07/04/18,82.0,45.1,88.56,68.06,93.48,0.86,77.9
08/04/18,58.0,31.9,62.64,48.14,66.12,0.61,55.1
09/04/18,73.0,40.15,78.84,60.59,83.22,0.77,69.35
10/04/18,53.0,29.15,57.24,43.99,60.42,0.56,50.35
11/04/18,71.0,39.05,76.68,58.93,80.94,0.75,67.45
12/04/18,64.0,35.2,69.12,53.12,72.96,0.67,60.8
13/04/18,58.0,31.9,62.64,48.14,66.12,0.61,55.1
14/04/18,57.0,31.35,61.56,47.31,64.98,0.6,54.15
15/04/18,42.0,23.1,45.36,34.86,47.88,0.44,39.9
16/04/18,52.0,28.6,56.16,43.16,59.28,0.55,49.4
17/04/18,58.0,31.9,62.64,48.14,66.12,0.61,55.1
18/04/18,54.0,29.7,58.32,44.82,61.56,0.57,51.3
19/04/18,72.0,39.6,77.76,59.76,82.08,0.76,68.4
20/04/18,58.0,31.9,62.64,48.14,66.12,0.61,55.1
21/04/18,70.0,38.5,75.6,58.1,79.8,0.74,66.5
22/04/18,52.0,28.6,56.16,43.16,59.28,0.55,49.4
23/04/18,70.0,38.5,75.6,58.1,79.8,0.74,66.5
24/04/18,90.0,49.5,97.2,74.7,102.6,0.95,85.5
25/04/18,76.0,41.8,82.08,63.08,86.64,0.8,72.2
26/04/18,76.0,41.8,82.08,63.08,86.64,0.8,72.2
27/04/18,82.0,45.1,88.56,68.06,93.48,0.86,77.9
28/04/18,54.0,29.7,58.32,44.82,61.56,0.57,51.3
29/04/18,55.0,30.25,59.4,45.65,62.7,0.58,52.25
30/04/18,73.0,40.15,78.84,60.59,83.22,0.77,69.35
01/05/18,118.0,64.9,127.44,97.94,134.52,1.24,112.1
02/05/18,132.0,72.6,142.56,109.56,150.48,1.39,125.4
03/05/18,119.0,65.45,128.52,98.77,135.66,1.25,113.05
04/05/18,148.0,81.4,159.84,122.84,168.72,1.55,140.6
05/05/18,110.0,60.5,118.8,91.3,125.4,1.16,104.5
06/05/18,68.0,37.4,73.44,56.44,77.52,0.71,64.6
07/05/18,86.0,47.3,92.88,71.38,98.04,0.9,81.7
