Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
01/01/18,406.0,223.3,438.48,336.98,462.84,4.26,385.7
02/01/18,418.0,229.9,451.44,346.94,476.52,4.39,397.1
03/01/18,382.0,210.1,412.56,317.06,435.48,4.01,362.9
04/01/18,366.0,201.3,395.28,303.78,417.24,3.84,347.7
05/01/18,390.0,214.5,421.2,323.7,444.6,4.1,370.5
06/01/18,405.0,222.75,437.4,336.15,461.7,4.25,384.75
07/01/18,355.0,195.25,383.4,294.65,404.7,3.73,337.25
08/01/18,288.0,158.4,311.04,239.04,328.32,3.02,273.6
09/01/18,359.0,197.45,387.72,297.97,409.26,3.77,341.05
10/01/18,352.0,193.6,380.16,292.16,401.28,3.7,334.4
11/01/18,309.0,169.95,333.72,256.47,352.26,3.24,293.55
12/01/18,298.0,163.9,321.84,247.34,339.72,3.13,283.1
13/01/18,359.0,197.45,387.72,297.97,409.26,3.77,341.05
14/01/18,321.0,176.55,346.68,266.43,365.94,3.37,304.95
15/01/18,331.0,182.05,357.48,274.73,377.34,3.48,314.45
16/01/18,255.0,140.25,275.4,211.65,290.7,2.68,242.25
17/01/18,353.0,194.15,381.24,292.99,402.42,3.71,335.35
18/01/18,400.0,220.0,432.0,332.0,456.0,4.2,380.0
19/01/18,406.0,223.3,438.48,336.98,462.84,4.26,385.7
20/01/18,323.0,177.65,348.84,268.09,368.22,3.39,306.85
21/01/18,276.0,151.8,298.08,229.08,314.64,2.9,262.2
22/01/18,342.0,188.1,369.36,283.86,389.88,3.59,324.9
23/01/18,324.0,178.2,349.92,268.92,369.36,3.4,307.8
24/01/18,270.0,148.5,291.6,224.1,307.8,2.84,256.5
25/01/18,243.0,133.65,262.44,201.69,277.02,2.55,230.85
26/01/18,261.0,143.55,281.88,216.63,297.54,2.74,247.95
27/01/18,286.0,157.3,308.88,237.38,326.04,3.0,271.7
28/01/18,300.0,165.0,324.0,249.0,342.0,3.15,285.0
29/01/18,302.0,166.1,326.16,250.66,344.28,3.17,286.9
30/01/18,270.0,148.5,291.6,224.1,307.8,2.84,256.5
31/01/18,244.0,134.2,263.52,202.52,278.16,2.56,231.8
01/02/18,274.0,150.7,295.92,227.42,312.36,2.88,260.3
02/02/18,293.0,161.15,316.44,243.19,334.02,3.08,278.35
03/02/18,243.0,133.65,262.44,201.69,277.02,2.55,230.85
04/02/18,256.0,140.8,276.48,212.48,291.84,2.69,243.2
05/02/18,291.0,160.05,314.28,241.53,331.74,3.06,276.45
06/02/18,287.0,157.85,309.96,238.21,327.18,3.01,272.65
07/02/18,261.0,143.55,281.88,216.63,297.54,2.74,247.95
08/02/18,308.0,169.4,332.64,255.64,351.12,3.23,292.6
09/02/18,335.0,184.25,361.8,278.05,381.9,3.52,318.25
10/02/18,341.0,187.55,368.28,283.03,388.74,3.58,323.95
11/02/18,304.0,167.2,328.32,252.32,346.56,3.19,288.8
12/02/18,178.0,97.9,192.24,147.74,202.92,1.87,169.1
13/02/18,191.0,105.05,206.28,158.53,217.74,2.01,181.45
14/02/18,187.0,102.85,201.96,155.21,213.18,1.96,177.65
15/02/18,187.0,102.85,201.96,155.21,213.18,1.96,177.65
16/02/18,235.0,129.25,253.8,195.05,267.9,2.47,223.25
17/02/18,256.0,140.8,276.48,212.48,291.84,2.69,243.2
18/02/18,257.0,141.35,277.56,213.31,292.98,2.7,244.15
19/02/18,294.0,161.7,317.52,244.02,335.16,3.09,279.3
20/02/18,296.0,162.8,319.68,245.68,337.44,3.11,281.2
21/02/18,308.0,169.4,332.64,255.64,351.12,3.23,292.6
22/02/18,300.0,165.0,324.0,249.0,342.0,3.15,285.0
23/02/18,302.0,166.1,326.16,250.66,344.28,3.17,286.9
24/02/18,320.0,176.0,345.6,265.6,364.8,3.36,304.0
25/02/18,266.0,146.3,287.28,220.78,303.24,2.79,252.7
26/02/18,156.0,85.8,168.48,129.48,177.84,1.64,148.2
27/02/18,160.0,88.0,172.8,132.8,182.4,1.68,152.0
28/02/18,272.0,149.6,293.76,225.76,310.08,2.86,258.4
01/03/18,257.0,141.35,277.56,213.31,292.98,2.7,244.15
02/03/18,260.0,143.0,280.8,215.8,296.4,2.73,247.0
03/03/18,203.0,111.65,219.24,168.49,231.42,2.13,192.85
04/03/18,178.0,97.9,192.24,147.74,202.92,1.87,169.1
05/03/18,172.0,94.6,185.76,142.76,196.08,1.81,163.4
06/03/18,167.0,91.85,180.36,138.61,190.38,1.75,158.65
07/03/18,185.0,101.75,199.8,153.55,210.9,1.94,175.75
08/03/18,245.0,134.75,264.6,203.35,279.3,2.57,232.75
09/03/18,280.0,154.0,302.4,232.4,319.2,2.94,266.0
10/03/18,170.0,93.5,183.6,141.1,193.8,1.79,161.5
11/03/18,170.0,93.5,183.6,141.1,193.8,1.79,161.5
12/03/18,214.0,117.7,231.12,177.62,243.96,2.25,203.3
13/03/18,217.0,119.35,234.36,180.11,247.38,2.28,206.15
14/03/18,267.0,146.85,288.36,221.61,304.38,2.8,253.65
15/03/18,297.0,163.35,320.76,246.51,338.58,3.12,282.15
16/03/18,256.0,140.8,276.48,212.48,291.84,2.69,243.2
17/03/18,186.0,102.3,200.88,154.38,212.04,1.95,176.7
18/03/18,169.0,92.95,182.52,140.27,192.66,1.77,160.55
19/03/18,173.0,95.15,186.84,143.59,197.22,1.82,164.35
20/03/18,217.0,119.35,234.36,180.11,247.38,2.28,206.15
21/03/18,289.0,158.95,312.12,239.87,329.46,3.03,274.55
22/03/18,186.0,102.3,200.88,154.38,212.04,1.95,176.7
23/03/18,151.0,83.05,163.08,125.33,172.14,1.59,143.45
24/03/18,175.0,96.25,189.0,145.25,199.5,1.84,166.25
25/03/18,195.0,107.25,210.6,161.85,222.3,2.05,185.25
26/03/18,183.0,100.65,197.64,151.89,208.62,1.92,173.85
27/03/18,230.0,126.5,248.4,190.9,262.2,2.42,218.5
28/03/18,255.0,140.25,275.4,211.65,290.7,2.68,242.25
29/03/18,213.0,117.15,230.04,176.79,242.82,2.24,202.35
30/03/18,218.0,119.9,235.44,180.94,248.52,2.29,207.1
31/03/18,256.0,140.8,276.48,212.48,291.84,2.69,243.2
01/04/18,195.0,107.25,210.6,161.85,222.3,2.05,185.25
02/04/18,219.0,120.45,236.52,181.77,249.66,2.3,208.05
03/04/18,207.0,113.85,223.56,171.81,235.98,2.17,196.65
04/04/18,203.0,111.65,219.24,168.49,231.42,2.13,192.85
05/04/18,290.0,159.5,313.2,240.7,330.6,3.05,275.5
06/04/18,208.0,114.4,224.64,172.64,237.12,2.18,197.6
07/04/18,143.0,78.65,154.44,118.69,163.02,1.5,135.85
08/04/18,141.0,77.55,152.28,117.03,160.74,1.48,133.95
09/04/18,120.0,66.0,129.6,99.6,136.8,1.26,114.0
10/04/18,230.0,126.5,248.4,190.9,262.2,2.42,218.5
11/04/18,141.0,77.55,152.28,117.03,160.74,1.48,133.95
12/04/18,99.0,54.45,106.92,82.17,112.86,1.04,94.05
13/04/18,188.0,103.4,203.04,156.04,214.32,1.97,178.6
14/04/18,217.0,119.35,234.36,180.11,247.38,2.28,206.15
15/04/18,224.0,123.2,241.92,185.92,255.36,2.35,212.8
16/04/18,285.0,156.75,307.8,236.55,324.9,2.99,270.75
17/04/18,244.0,134.2,263.52,202.52,278.16,2.56,231.8
18/04/18,228.0,125.4,246.24,189.24,259.92,2.39,216.6
19/04/18,244.0,134.2,263.52,202.52,278.16,2.56,231.8
20/04/18,246.0,135.3,265.68,204.18,280.44,2.58,233.7
21/04/18,356.0,195.8,384.48,295.48,405.84,3.74,338.2
22/04/18,211.0,116.05,227.88,175.13,240.54,2.22,200.45
23/04/18,160.0,88.0,172.8,132.8,182.4,1.68,152.0
24/04/18,254.0,139.7,274.32,210.82,289.56,2.67,241.3
25/04/18,266.0,146.3,287.28,220.78,303.24,2.79,252.7
26/04/18,313.0,172.15,338.04,259.79,356.82,3.29,297.35
27/04/18,310.0,170.5,334.8,257.3,353.4,3.26,294.5
28/04/18,301.0,165.55,325.08,249.83,343.14,3.16,285.95
29/04/18,248.0,136.4,267.84,205.84,282.72,2.6,235.6
30/04/18,209.0,114.95,225.72,173.47,238.26,2.19,198.55
01/05/18,177.0,97.35,191.16,146.91,201.78,1.86,168.15
02/05/18,153.0,84.15,165.24,126.99,174.42,1.61,145.35
03/05/18,160.0,88.0,172.8,132.8,182.4,1.68,152.0
04/05/18,139.0,76.45,150.12,115.37,158.46,1.46,132.05
05/05/18,173.0,95.15,186.84,143.59,197.22,1.82,164.35
06/05/18,269.0,147.95,290.52,223.27,306.66,2.82,255.55
07/05/18,211.0,116.05,227.88,175.13,240.54,2.22,200.45
08/05/18,208.0,114.4,224.64,172.64,237.12,2.18,197.6
09/05/18,163.0,89.65,176.04,135.29,185.82,1.71,154.85
10/05/18,190.0,104.5,205.2,157.7,216.6,2.0,180.5
11/05/18,256.0,140.8,276.48,212.48,291.84,2.69,243.2
12/05/18,304.0,167.2,328.32,252.32,346.56,3.19,288.8
13/05/18,215.0,118.25,232.2,178.45,245.1,2.26,204.25
14/05/18,130.0,71.5,140.4,107.9,148.2,1.37,123.5
15/05/18,164.0,90.2,177.12,136.12,186.96,1.72,155.8
16/05/18,190.0,104.5,205.2,157.7,216.6,2.0,180.5
17/05/18,243.0,133.65,262.44,201.69,277.02,2.55,230.85
18/05/18,225.0,123.75,243.0,186.75,256.5,2.36,213.75
19/05/18,242.0,133.1,261.36,200.86,275.88,2.54,229.9
20/05/18,199.0,109.45,214.92,165.17,226.86,2.09,189.05
21/05/18,183.0,100.65,197.64,151.89,208.62,1.92,173.85
22/05/18,212.0,116.6,228.96,175.96,241.68,2.23,201.4
23/05/18,301.0,165.55,325.08,249.83,343.14,3.16,285.95
24/05/18,252.0,138.6,272.16,209.16,287.28,2.65,239.4
25/05/18,251.0,138.05,271.08,208.33,286.14,2.64,238.45
26/05/18,235.0,129.25,253.8,195.05,267.9,2.47,223.25
27/05/18,277.0,152.35,299.16,229.91,315.78,2.91,263.15
28/05/18,275.0,151.25,297.0,228.25,313.5,2.89,261.25
29/05/18,285.0,156.75,307.8,236.55,324.9,2.99,270.75
30/05/18,281.0,154.55,303.48,233.23,320.34,2.95,266.95
31/05/18,208.0,114.4,224.64,172.64,237.12,2.18,197.6
01/06/18,198.0,108.9,213.84,164.34,225.72,2.08,188.1
02/06/18,173.0,95.15,186.84,143.59,197.22,1.82,164.35
03/06/18,174.0,95.7,187.92,144.42,198.36,1.83,165.3
04/06/18,183.0,100.65,197.64,151.89,208.62,1.92,173.85
05/06/18,169.0,92.95,182.52,140.27,192.66,1.77,160.55
06/06/18,136.0,74.8,146.88,112.88,155.04,1.43,129.2
07/06/18,164.0,90.2,177.12,136.12,186.96,1.72,155.8
08/06/18,179.0,98.45,193.32,148.57,204.06,1.88,170.05
09/06/18,127.0,69.85,137.16,105.41,144.78,1.33,120.65
10/06/18,158.0,86.9,170.64,131.14,180.12,1.66,150.1
11/06/18,183.0,100.65,197.64,151.89,208.62,1.92,173.85
12/06/18,296.0,162.8,319.68,245.68,337.44,3.11,281.2
13/06/18,445.0,244.75,480.6,369.35,507.3,4.67,422.75
14/06/18,431.0,237.05,465.48,357.73,491.34,4.53,409.45
15/06/18,447.0,245.85,482.76,371.01,509.58,4.69,424.65
16/06/18,369.0,202.95,398.52,306.27,420.66,3.87,350.55
17/06/18,289.0,158.95,312.12,239.87,329.46,3.03,274.55
18/06/18,171.0,94.05,184.68,141.93,194.94,1.8,162.45
19/06/18,121.0,66.55,130.68,100.43,137.94,1.27,114.95
20/06/18,177.0,97.35,191.16,146.91,201.78,1.86,168.15
21/06/18,226.0,124.3,244.08,187.58,257.64,2.37,214.7
22/06/18,236.0,129.8,254.88,195.88,269.04,2.48,224.2
23/06/18,218.0,119.9,235.44,180.94,248.52,2.29,207.1
24/06/18,183.0,100.65,197.64,151.89,208.62,1.92,173.85
25/06/18,192.0,105.6,207.36,159.36,218.88,2.02,182.4
26/06/18,110.0,60.5,118.8,91.3,125.4,1.16,104.5
27/06/18,93.0,51.15,100.44,77.19,106.02,0.98,88.35
28/06/18,76.0,41.8,82.08,63.08,86.64,0.8,72.2
29/06/18,72.0,39.6,77.76,59.76,82.08,0.76,68.4
30/06/18,96.0,52.8,103.68,79.68,109.44,1.01,91.2
01/07/18,92.0,50.6,99.36,76.36,104.88,0.97,87.4
02/07/18,106.0,58.3,114.48,87.98,120.84,1.11,100.7
03/07/18,114.0,62.7,123.12,94.62,129.96,1.2,108.3
04/07/18,137.0,75.35,147.96,113.71,156.18,1.44,130.15
05/07/18,123.0,67.65,132.84,102.09,140.22,1.29,116.85
06/07/18,147.0,80.85,158.76,122.01,167.58,1.54,139.65
07/07/18,151.0,83.05,163.08,125.33,172.14,1.59,143.45
08/07/18,182.0,100.1,196.56,151.06,207.48,1.91,172.9
09/07/18,157.0,86.35,169.56,130.31,178.98,1.65,149.15
10/07/18,134.0,73.7,144.72,111.22,152.76,1.41,127.3
11/07/18,106.0,58.3,114.48,87.98,120.84,1.11,100.7
12/07/18,143.0,78.65,154.44,118.69,163.02,1.5,135.85
13/07/18,99.0,54.45,106.92,82.17,112.86,1.04,94.05
14/07/18,76.0,41.8,82.08,63.08,86.64,0.8,72.2
15/07/18,76.0,41.8,82.08,63.08,86.64,0.8,72.2
16/07/18,87.0,47.85,93.96,72.21,99.18,0.91,82.65
17/07/18,91.0,50.05,98.28,75.53,103.74,0.96,86.45
18/07/18,106.0,58.3,114.48,87.98,120.84,1.11,100.7
19/07/18,88.0,48.4,95.04,73.04,100.32,0.92,83.6
20/07/18,80.0,44.0,86.4,66.4,91.2,0.84,76.0
21/07/18,111.0,61.05,119.88,92.13,126.54,1.17,105.45
22/07/18,61.0,33.55,65.88,50.63,69.54,0.64,57.95
23/07/18,67.0,36.85,72.36,55.61,76.38,0.7,63.65
24/07/18,90.0,49.5,97.2,74.7,102.6,0.95,85.5
25/07/18,78.0,42.9,84.24,64.74,88.92,0.82,74.1
26/07/18,74.0,40.7,79.92,61.42,84.36,0.78,70.3
27/07/18,54.0,29.7,58.32,44.82,61.56,0.57,51.3
28/07/18,57.0,31.35,61.56,47.31,64.98,0.6,54.15
29/07/18,90.0,49.5,97.2,74.7,102.6,0.95,85.5
30/07/18,115.0,63.25,124.2,95.45,131.1,1.21,109.25
31/07/18,132.0,72.6,142.56,109.56,150.48,1.39,125.4
01/08/18,153.0,84.15,165.24,126.99,174.42,1.61,145.35
02/08/18,235.0,129.25,253.8,195.05,267.9,2.47,223.25
03/08/18,213.0,117.15,230.04,176.79,242.82,2.24,202.35
04/08/18,216.0,118.8,233.28,179.28,246.24,2.27,205.2
05/08/18,241.0,132.55,260.28,200.03,274.74,2.53,228.95
06/08/18,133.0,73.15,143.64,110.39,151.62,1.4,126.35
07/08/18,113.0,62.15,122.04,93.79,128.82,1.19,107.35
08/08/18,86.0,47.3,92.88,71.38,98.04,0.9,81.7
09/08/18,88.0,48.4,95.04,73.04,100.32,0.92,83.6
10/08/18,102.0,56.1,110.16,84.66,116.28,1.07,96.9
11/08/18,96.0,52.8,103.68,79.68,109.44,1.01,91.2
12/08/18,83.0,45.65,89.64,68.89,94.62,0.87,78.85
13/08/18,94.0,51.7,101.52,78.02,107.16,0.99,89.3
14/08/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
15/08/18,120.0,66.0,129.6,99.6,136.8,1.26,114.0
16/08/18,86.0,47.3,92.88,71.38,98.04,0.9,81.7
17/08/18,84.0,46.2,90.72,69.72,95.76,0.88,79.8
18/08/18,80.0,44.0,86.4,66.4,91.2,0.84,76.0
19/08/18,89.0,48.95,96.12,73.87,101.46,0.93,84.55
20/08/18,137.0,75.35,147.96,113.71,156.18,1.44,130.15
