Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
01/01/18,119.0,65.45,128.52,98.77,135.66,1.25,113.05
02/01/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
03/01/18,156.0,85.8,168.48,129.48,177.84,1.64,148.2
04/01/18,169.0,92.95,182.52,140.27,192.66,1.77,160.55
05/01/18,148.0,81.4,159.84,122.84,168.72,1.55,140.6
06/01/18,146.0,80.3,157.68,121.18,166.44,1.53,138.7
07/01/18,139.0,76.45,150.12,115.37,158.46,1.46,132.05
08/01/18,142.0,78.1,153.36,117.86,161.88,1.49,134.9
09/01/18,153.0,84.15,165.24,126.99,174.42,1.61,145.35
10/01/18,155.0,85.25,167.4,128.65,176.7,1.63,147.25
11/01/18,152.0,83.6,164.16,126.16,173.28,1.6,144.4
12/01/18,151.0,83.05,163.08,125.33,172.14,1.59,143.45
13/01/18,148.0,81.4,159.84,122.84,168.72,1.55,140.6
14/01/18,137.0,75.35,147.96,113.71,156.18,1.44,130.15
15/01/18,143.0,78.65,154.44,118.69,163.02,1.5,135.85
16/01/18,135.0,74.25,145.8,112.05,153.9,1.42,128.25
17/01/18,124.0,68.2,133.92,102.92,141.36,1.3,117.8
18/01/18,130.0,71.5,140.4,107.9,148.2,1.37,123.5
19/01/18,128.0,70.4,138.24,106.24,145.92,1.34,121.6
20/01/18,134.0,73.7,144.72,111.22,152.76,1.41,127.3
21/01/18,135.0,74.25,145.8,112.05,153.9,1.42,128.25
22/01/18,151.0,83.05,163.08,125.33,172.14,1.59,143.45
23/01/18,120.0,66.0,129.6,99.6,136.8,1.26,114.0
24/01/18,123.0,67.65,132.84,102.09,140.22,1.29,116.85
25/01/18,143.0,78.65,154.44,118.69,163.02,1.5,135.85
26/01/18,148.0,81.4,159.84,122.84,168.72,1.55,140.6
27/01/18,148.0,81.4,159.84,122.84,168.72,1.55,140.6
28/01/18,137.0,75.35,147.96,113.71,156.18,1.44,130.15
29/01/18,141.0,77.55,152.28,117.03,160.74,1.48,133.95
30/01/18,143.0,78.65,154.44,118.69,163.02,1.5,135.85
31/01/18,126.0,69.3,136.08,104.58,143.64,1.32,119.7
01/02/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
02/02/18,115.0,63.25,124.2,95.45,131.1,1.21,109.25
03/02/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
04/02/18,103.0,56.65,111.24,85.49,117.42,1.08,97.85
05/02/18,122.0,67.1,131.76,101.26,139.08,1.28,115.9
06/02/18,116.0,63.8,125.28,96.28,132.24,1.22,110.2
07/02/18,138.0,75.9,149.04,114.54,157.32,1.45,131.1
08/02/18,104.0,57.2,112.32,86.32,118.56,1.09,98.8
09/02/18,105.0,57.75,113.4,87.15,119.7,1.1,99.75
10/02/18,115.0,63.25,124.2,95.45,131.1,1.21,109.25
11/02/18,102.0,56.1,110.16,84.66,116.28,1.07,96.9
12/02/18,100.0,55.0,108.0,83.0,114.0,1.05,95.0
13/02/18,99.0,54.45,106.92,82.17,112.86,1.04,94.05
14/02/18,97.0,53.35,104.76,80.51,110.58,1.02,92.15
15/02/18,115.0,63.25,124.2,95.45,131.1,1.21,109.25
16/02/18,105.0,57.75,113.4,87.15,119.7,1.1,99.75
17/02/18,108.0,59.4,116.64,89.64,123.12,1.13,102.6
18/02/18,118.0,64.9,127.44,97.94,134.52,1.24,112.1
19/02/18,104.0,57.2,112.32,86.32,118.56,1.09,98.8
20/02/18,93.0,51.15,100.44,77.19,106.02,0.98,88.35
21/02/18,108.0,59.4,116.64,89.64,123.12,1.13,102.6
22/02/18,115.0,63.25,124.2,95.45,131.1,1.21,109.25
23/02/18,134.0,73.7,144.72,111.22,152.76,1.41,127.3
24/02/18,102.0,56.1,110.16,84.66,116.28,1.07,96.9
25/02/18,102.0,56.1,110.16,84.66,116.28,1.07,96.9
26/02/18,122.0,67.1,131.76,101.26,139.08,1.28,115.9
27/02/18,129.0,70.95,139.32,107.07,147.06,1.35,122.55
28/02/18,127.0,69.85,137.16,105.41,144.78,1.33,120.65
01/03/18,121.0,66.55,130.68,100.43,137.94,1.27,114.95
02/03/18,116.0,63.8,125.28,96.28,132.24,1.22,110.2
03/03/18,109.0,59.95,117.72,90.47,124.26,1.14,103.55
04/03/18,118.0,64.9,127.44,97.94,134.52,1.24,112.1
05/03/18,105.0,57.75,113.4,87.15,119.7,1.1,99.75
06/03/18,101.0,55.55,109.08,83.83,115.14,1.06,95.95
07/03/18,101.0,55.55,109.08,83.83,115.14,1.06,95.95
08/03/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
09/03/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
10/03/18,118.0,64.9,127.44,97.94,134.52,1.24,112.1
11/03/18,117.0,64.35,126.36,97.11,133.38,1.23,111.15
12/03/18,92.0,50.6,99.36,76.36,104.88,0.97,87.4
13/03/18,80.0,44.0,86.4,66.4,91.2,0.84,76.0
14/03/18,100.0,55.0,108.0,83.0,114.0,1.05,95.0
15/03/18,92.0,50.6,99.36,76.36,104.88,0.97,87.4
16/03/18,122.0,67.1,131.76,101.26,139.08,1.28,115.9
17/03/18,102.0,56.1,110.16,84.66,116.28,1.07,96.9
18/03/18,74.0,40.7,79.92,61.42,84.36,0.78,70.3
19/03/18,87.0,47.85,93.96,72.21,99.18,0.91,82.65
20/03/18,101.0,55.55,109.08,83.83,115.14,1.06,95.95
21/03/18,107.0,58.85,115.56,88.81,121.98,1.12,101.65
22/03/18,132.0,72.6,142.56,109.56,150.48,1.39,125.4
23/03/18,127.0,69.85,137.16,105.41,144.78,1.33,120.65
24/03/18,132.0,72.6,142.56,109.56,150.48,1.39,125.4
25/03/18,139.0,76.45,150.12,115.37,158.46,1.46,132.05
26/03/18,119.0,65.45,128.52,98.77,135.66,1.25,113.05
27/03/18,118.0,64.9,127.44,97.94,134.52,1.24,112.1
28/03/18,118.0,64.9,127.44,97.94,134.52,1.24,112.1
29/03/18,124.0,68.2,133.92,102.92,141.36,1.3,117.8
30/03/18,115.0,63.25,124.2,95.45,131.1,1.21,109.25
31/03/18,108.0,59.4,116.64,89.64,123.12,1.13,102.6
01/04/18,94.0,51.7,101.52,78.02,107.16,0.99,89.3
02/04/18,72.0,39.6,77.76,59.76,82.08,0.76,68.4
03/04/18,97.0,53.35,104.76,80.51,110.58,1.02,92.15
04/04/18,93.0,51.15,100.44,77.19,106.02,0.98,88.35
05/04/18,86.0,47.3,92.88,71.38,98.04,0.9,81.7
06/04/18,97.0,53.35,104.76,80.51,110.58,1.02,92.15
07/04/18,77.0,42.35,83.16,63.91,87.78,0.81,73.15
08/04/18,73.0,40.15,78.84,60.59,83.22,0.77,69.35
09/04/18,101.0,55.55,109.08,83.83,115.14,1.06,95.95
10/04/18,84.0,46.2,90.72,69.72,95.76,0.88,79.8
11/04/18,70.0,38.5,75.6,58.1,79.8,0.74,66.5
12/04/18,72.0,39.6,77.76,59.76,82.08,0.76,68.4
