Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
01/01/19,194.0,106.7,209.52,161.02,221.16,2.04,184.3
02/01/19,180.0,99.0,194.4,149.4,205.2,1.89,171.0
03/01/19,267.0,146.85,288.36,221.61,304.38,2.8,253.65
04/01/19,223.0,122.65,240.84,185.09,254.22,2.34,211.85
05/01/19,178.0,97.9,192.24,147.74,202.92,1.87,169.1
06/01/19,192.0,105.6,207.36,159.36,218.88,2.02,182.4
07/01/19,146.0,80.3,157.68,121.18,166.44,1.53,138.7
08/01/19,161.0,88.55,173.88,133.63,183.54,1.69,152.95
09/01/19,154.0,84.7,166.32,127.82,175.56,1.62,146.3
10/01/19,219.0,120.45,236.52,181.77,249.66,2.3,208.05
11/01/19,212.0,116.6,228.96,175.96,241.68,2.23,201.4
12/01/19,200.0,110.0,216.0,166.0,228.0,2.1,190.0
13/01/19,206.0,113.3,222.48,170.98,234.84,2.16,195.7
14/01/19,163.0,89.65,176.04,135.29,185.82,1.71,154.85
15/01/19,163.0,89.65,176.04,135.29,185.82,1.71,154.85
16/01/19,163.0,89.65,176.04,135.29,185.82,1.71,154.85
17/01/19,193.0,106.15,208.44,160.19,220.02,2.03,183.35
18/01/19,207.0,113.85,223.56,171.81,235.98,2.17,196.65
19/01/19,202.0,111.1,218.16,167.66,230.28,2.12,191.9
20/01/19,251.0,138.05,271.08,208.33,286.14,2.64,238.45
21/01/19,137.0,75.35,147.96,113.71,156.18,1.44,130.15
22/01/19,108.0,59.4,116.64,89.64,123.12,1.13,102.6
23/01/19,93.0,51.15,100.44,77.19,106.02,0.98,88.35
24/01/19,134.0,73.7,144.72,111.22,152.76,1.41,127.3
25/01/19,123.0,67.65,132.84,102.09,140.22,1.29,116.85
26/01/19,115.0,63.25,124.2,95.45,131.1,1.21,109.25
27/01/19,110.0,60.5,118.8,91.3,125.4,1.16,104.5
28/01/19,110.0,60.5,118.8,91.3,125.4,1.16,104.5
29/01/19,118.0,64.9,127.44,97.94,134.52,1.24,112.1
30/01/19,156.0,85.8,168.48,129.48,177.84,1.64,148.2
31/01/19,153.0,84.15,165.24,126.99,174.42,1.61,145.35
01/02/19,153.0,84.15,165.24,126.99,174.42,1.61,145.35
02/02/19,158.0,86.9,170.64,131.14,180.12,1.66,150.1
03/02/19,204.0,112.2,220.32,169.32,232.56,2.14,193.8
04/02/19,197.0,108.35,212.76,163.51,224.58,2.07,187.15
05/02/19,159.0,87.45,171.72,131.97,181.26,1.67,151.05
06/02/19,153.0,84.15,165.24,126.99,174.42,1.61,145.35
07/02/19,90.0,49.5,97.2,74.7,102.6,0.95,85.5
08/02/19,162.0,89.1,174.96,134.46,184.68,1.7,153.9
09/02/19,159.0,87.45,171.72,131.97,181.26,1.67,151.05
10/02/19,187.0,102.85,201.96,155.21,213.18,1.96,177.65
11/02/19,225.0,123.75,243.0,186.75,256.5,2.36,213.75
12/02/19,219.0,120.45,236.52,181.77,249.66,2.3,208.05
13/02/19,175.0,96.25,189.0,145.25,199.5,1.84,166.25
14/02/19,97.0,53.35,104.76,80.51,110.58,1.02,92.15
15/02/19,108.0,59.4,116.64,89.64,123.12,1.13,102.6
16/02/19,124.0,68.2,133.92,102.92,141.36,1.3,117.8
17/02/19,173.0,95.15,186.84,143.59,197.22,1.82,164.35
18/02/19,133.0,73.15,143.64,110.39,151.62,1.4,126.35
19/02/19,166.0,91.3,179.28,137.78,189.24,1.74,157.7
20/02/19,156.0,85.8,168.48,129.48,177.84,1.64,148.2
21/02/19,90.0,49.5,97.2,74.7,102.6,0.95,85.5
22/02/19,83.0,45.65,89.64,68.89,94.62,0.87,78.85
23/02/19,173.0,95.15,186.84,143.59,197.22,1.82,164.35
24/02/19,124.0,68.2,133.92,102.92,141.36,1.3,117.8
25/02/19,103.0,56.65,111.24,85.49,117.42,1.08,97.85
26/02/19,115.0,63.25,124.2,95.45,131.1,1.21,109.25
27/02/19,104.0,57.2,112.32,86.32,118.56,1.09,98.8
02/03/19,207.0,113.85,223.56,171.81,235.98,2.17,196.65
03/03/19,84.0,46.2,90.72,69.72,95.76,0.88,79.8
04/03/19,83.0,45.65,89.64,68.89,94.62,0.87,78.85
05/03/19,113.0,62.15,122.04,93.79,128.82,1.19,107.35
06/03/19,101.0,55.55,109.08,83.83,115.14,1.06,95.95
07/03/19,96.0,52.8,103.68,79.68,109.44,1.01,91.2
08/03/19,102.0,56.1,110.16,84.66,116.28,1.07,96.9
09/03/19,189.0,103.95,204.12,156.87,215.46,1.98,179.55
10/03/19,144.0,79.2,155.52,119.52,164.16,1.51,136.8
11/03/19,120.0,66.0,129.6,99.6,136.8,1.26,114.0
12/03/19,92.0,50.6,99.36,76.36,104.88,0.97,87.4
13/03/19,151.0,83.05,163.08,125.33,172.14,1.59,143.45
14/03/19,95.0,52.25,102.6,78.85,108.3,1.0,90.25
15/03/19,162.0,89.1,174.96,134.46,184.68,1.7,153.9
16/03/19,174.0,95.7,187.92,144.42,198.36,1.83,165.3
17/03/19,126.0,69.3,136.08,104.58,143.64,1.32,119.7
18/03/19,125.0,68.75,135.0,103.75,142.5,1.31,118.75
19/03/19,137.0,75.35,147.96,113.71,156.18,1.44,130.15
20/03/19,89.0,48.95,96.12,73.87,101.46,0.93,84.55
21/03/19,82.0,45.1,88.56,68.06,93.48,0.86,77.9
22/03/19,74.0,40.7,79.92,61.42,84.36,0.78,70.3
23/03/19,87.0,47.85,93.96,72.21,99.18,0.91,82.65
24/03/19,168.0,92.4,181.44,139.44,191.52,1.76,159.6
25/03/19,165.0,90.75,178.2,136.95,188.1,1.73,156.75
